title,author,publisher,price,publish_date,rating,reviews,discount
혼자 공부하는 머신러닝+딥러닝,박해선,한빛미디어,"23,400원",2020.12.21,9.76,120,10%
가상 면접 사례로 배우는 대규모 시스템 설계 기초,알렉스 쉬,인사이트,"21,600원",2021.07.28,9.64,47,10%
비전공자를 위한 이해할 수 있는 IT 지식,최원영,티더블유아이지,"15,120원",2020.07.14,9.25,277,10%
친절한 SQL 튜닝,조시형,디비안(주)(DBian),"34,200원",2018.06.01,9.92,53,10%
Clean Code(클린 코드),로버트 C. 마틴,인사이트,"29,700원",2013.12.24,9.75,114,10%
밑바닥부터 시작하는 딥러닝,사이토 고키,한빛미디어,"21,600원",2017.01.03,9.59,204,10%
2025 알기사 정보보안기사 산업기사 필기+핵심기출 1200제,조현준,지안에듀,"44,100원",2024.10.30,10,2,10%
윤성우의 열혈 C++ 프로그래밍,윤성우,오렌지미디어,"24,300원",2010.05.14,9.53,78,10%
그림으로 배우는 보안 구조,마스이 토시카츠,영진닷컴,"14,400원",2020.04.10,9.48,13,10%
시스코 네트워킹,진강훈 외,성안당,"38,700원",2024.08.07,9.8,29,10%
Real MySQL 8.0 (1권),백은빈 외,위키북스,"27,000",2021.09.08,9.84,20,10%
이것이 취업을 위한 코딩 테스트다 with 파이썬,나동빈,한빛미디어,"30,600",2020.08.05,9.59,85,10%
실무에 바로 쓰는 일잘러의 보고서 작성법,김마라,제이펍,"16,200",2020.11.17,9.78,67,10%
클린 아키텍처: 소프트웨어 구조와 설계의 원칙,로버트 C. 마틴,인사이트,"26,100",2019.08.20,9.7,61,10%
밑바닥부터 시작하는 딥러닝 2,사이토 고키,한빛미디어,"26,100",2019.05.01,9.91,69,10%
객체지향의 사실과 오해,조영호,위키북스,"18,000",2015.06.17,9.74,73,10%
한 권으로 읽는 컴퓨터 구조와 프로그래밍,조너선 스타인하트,책만,"31,500",2021.04.08,9.21,66,10%
밑바닥부터 시작하는 딥러닝 3,사이토 고키,한빛미디어,"34,200",2020.11.10,9.68,46,10%
(사용자를) 생각하게 하지 마!,스티브 크룩,인사이트,"16,200",2014.11.30,9.39,27,10%
구글 클래스룸 무작정 따라하기,윤영규 외,길벗,"21,600",2021.04.19,9.67,30,10%
혼자 공부하는 SQL,우재남,한빛미디어,"21,600",2021.11.01,9.6,50,10%
데이터 과학을 위한 통계,피터 브루스 외,한빛미디어,"30,600",2021.05.07,9.71,25,10%
오브젝트,조영호,위키북스,"34,200",2019.06.17,9.71,41,10%
함께 자라기,김창준,인사이트,"11,700",2018.11.30,9.79,49,10%
그로스 해킹(Growth Hacking),라이언 홀리데이,길벗,"12,420",2015.04.13,9.76,46,10%
된다! 7일 실무 엑셀,한정희,이지스퍼블리싱,"18,000",2019.07.25,9.69,111,10%
자바 ORM 표준 JPA 프로그래밍,김영한,에이콘출판,"38,700",2015.07.28,9.48,45,10%
1일 1로그 100일 완성 IT 지식,브라이언 W. 커니핸,인사이트,"18,000",2021.12.31,9.67,106,10%
모던 자바스크립트 Deep Dive,이웅모,위키북스,"40,500",2020.09.25,9.73,91,10%
시작하세요! Final Cut Pro 10.6,박경인,위키북스,"26,100",2021.12.15,10,3,10%
알고리즘 문제 해결 전략 세트,구종만,인사이트,"45,000",2012.11.01,9.66,88,10%
"팀 개발을 위한 Git, GitHub 시작하기",정호영 외,한빛미디어,"18,000",2023.05.12,9.57,19,10%
그림으로 이해하는 AWS 구조와 기술,오가사와라 시게타카,길벗,"16,200",2021.06.30,8.9,26,10%
리팩터링,마틴 파울러,한빛미디어,"31,500",2020.04.01,9.88,60,10%
이펙티브 자바,조슈아 블로크,인사이트,"32,400",2018.11.01,9.75,65,10%
HTTP 완벽 가이드,데이빗 고울리 외,인사이트,"35,100",2014.12.15,9.83,32,10%
소프트웨어 테스트 전문가(CSTS) 가이드,한국정보통신기술협회(TTA),도서출판 홍릉(홍릉과학출판사),가격 없음,2021.03.30,9.79,15,할인 없음
운영체제,Abraham Silberschatz 외,퍼스트북,가격 없음,2020.02.28,8.86,38,할인 없음
윤성우의 열혈 C 프로그래밍,윤성우,오렌지미디어,"22,500",2010.11.01,9.67,133,10%
Real MySQL 8.0 (2권),백은빈 외,위키북스,"28,800",2021.09.08,10,8,10%
린 스타트업,에릭 리스,인사이트,"16,200",2012.11.12,9.51,45,10%
파이썬으로 시작하는 데이터 분석,강지영,아이리포,"19,800",2021.07.15,8.57,8,10%
그림으로 공부하는 IT 인프라 구조,야마자키 야스시 외,제이펍,"23,400",2020.12.09,9.89,33,10%
데이터 중심 애플리케이션 설계,마틴 클레프만,위키북스,"32,400",2018.04.12,10,24,10%
이펙티브 타입스크립트,댄 밴더캄,인사이트,"22,500",2021.06.22,9.67,18,10%
ROS 2로 시작하는 로봇 프로그래밍,표윤석 외,루비페이퍼,"28,800",2021.08.05,9.23,15,10%
패턴 인식과 머신 러닝,크리스토퍼 비숍,제이펍,"41,400",2018.09.10,9.63,37,10%
컨테이너 인프라 환경 구축을 위한 쿠버네티스/도커,조훈 외,길벗,"30,600",2021.06.07,9.5,69,10%
"머신 러닝 교과서 with 파이썬, 사이킷런, 텐서플로",세바스찬 라시카 외,길벗,"39,600",2021.03.31,9.67,25,10%
2024 국가공인 SQLP 자격검정 핵심노트 2,조시형,디비안(주)(DBian),가격 없음,2024.07.12,10,1,할인 없음
